Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;1;4;0.5;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;1;1;0.5;0.5
std-NetwerkPartitie;0;1;0;1
Opstarten;14;14;4;4
Connect;17;18;1;1
Disconnect;3;7;0.5;1
Berichten;8;8;1;1
BerichtNaVerandering;7;7;0.5;0.5
NetwerkPartitie;0;4;0;1
Fout in de locking;-;-;-2;-
BovenLimiet;0;1;0;1
Totaal;-;-;12;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
Standaard;Correct;16.28;Opstarten netwerk
Standaard;Correct;0.51;Berichten sturen
Standaard;Correct;3.43;Verbindingen aanleggen met C
Standaard;Correct;0.15;Berichten sturen in gewijzigd netwerk
Standaard;Incorrect;5.79;Verbindingen verbreken
Random;Correct;18.47;Opstarten netwerk
Random;Correct;1.04;Berichten sturen
Random;Incorrect;5.71;Verbindingen verbreken
2xStandaard;Correct;16.27;Opstarten netwerk
2xStandaard;Correct;7.35;Samenvoegen netwerken 1
2xStandaard;Correct;2.14;Samenvoegen netwerken 2
2xStandaard;Correct;1.26;Berichten sturen in samengevoegd netwerk
2xStandaard;Incorrect;5.84;Disconnects
Lijn-netwerk;Correct;14.66;Opstarten netwerk
Lijn-netwerk;Correct;1.02;Berichten sturen
Lijn-netwerk;Incorrect;11.37;Verbindingen maken
Connected;Correct;18.88;Opstarten netwerk
Standaard;Correct;16.27;Opstarten netwerk
Standaard;Correct;0.54;Berichten sturen
Standaard;Correct;3.45;Verbindingen aanleggen met C
Standaard;Correct;0.17;Berichten sturen in gewijzigd netwerk
Standaard;Incorrect;11.44;Verbindingen verbreken
Random;Correct;19.48;Opstarten netwerk
Random;Correct;1.05;Berichten sturen
Random;Correct;5.65;Verbindingen verbreken
Random;Correct;4.26;Verbindingen maken
Random;Correct;0.77;Berichten sturen in gewijzigd netwerk
Random;Correct;0.03;Routingtabelcheck (zijn buurnodes correct?)
2xStandaard;Correct;16.67;Opstarten netwerk
2xStandaard;Correct;7.37;Samenvoegen netwerken 1
2xStandaard;Correct;2.15;Samenvoegen netwerken 2
2xStandaard;Correct;1.10;Berichten sturen in samengevoegd netwerk
2xStandaard;Incorrect;5.84;Disconnects
Lijn-netwerk;Correct;14.66;Opstarten netwerk
Lijn-netwerk;Correct;1.06;Berichten sturen
Lijn-netwerk;Correct;5.88;Verbindingen maken
Lijn-netwerk;Incorrect;5.80;Verbindingen verbreken
Standaard;Correct;16.27;Opstarten netwerk
Standaard;Correct;0.54;Berichten sturen
